Age,Gender,Education,Marital_Status,Region,State,Farm_Size,Crop_Type,Livestock_Type,Livestock_Number,Irrigation,Crop_Cycles,Technology_Use,Previous_Loans,Loan_Amount,Repayment_Status,Savings_Behavior,Financial_Access,Annual_Income,Extension_Services,Market_Distance,Yield_Per_Season,Input_Usage,Labor,Loan_Repaid,Credit_Score
32,Female,Secondary,Single,North Central,FCT,2.28,Sesame,Poultry,7,No,2,Yes,No,0,Defaulted,Yes,No,401051.53,No,10.11,128610.35,All,Family,0,58.69
32,Female,Secondary,Divorced,South South,Rivers,3.13,Rice,Poultry,15,No,1,Yes,No,0,Defaulted,No,Yes,289525.45,Yes,6.99,242613.91,All,Family,0,11.72
31,Male,Primary,Married,North East,Taraba,0.62,Sesame,None,0,No,1,No,No,0,Defaulted,No,Yes,264688.33,No,9.42,134944.82,All,Family,0,51.44
26,Male,Primary,Single,North Central,Nassarawa,0.12,Yam,Cattle,13,Yes,3,No,No,0,Late,No,Yes,163321.79,Yes,2.46,204982.35,All,Family,0,26.26
29,Female,Tertiary,Single,South East,Imo,2.36,Yam,Poultry,3,No,2,Yes,Yes,400083,Paid on Time,No,Yes,235488.02,Yes,10.75,144328.94,Some,Hired,1,85.38
30,Male,Primary,Divorced,North East,Gombe,3.62,Groundnut,Cattle,7,No,2,No,No,0,Late,No,Yes,382373.31,No,16.86,158777.66,None,Family,0,15.5
30,Female,Primary,Married,North East,Adamawa,0.58,Cowpea,Cattle,20,Yes,3,Yes,Yes,306951,Paid on Time,Yes,Yes,257935.47,Yes,14.09,97269.78,None,Family,1,41.84
19,Male,Primary,Single,South East,Ebonyi,1.81,Oil Palm,Goats,17,Yes,2,No,Yes,392767,Paid on Time,No,Yes,330154.73,No,17.01,79907.45,Some,Hired,1,79.92
23,Female,Tertiary,Single,South East,Abia,2.72,Oil Palm,Goats,9,No,3,Yes,No,0,Paid on Time,No,Yes,204852.82,Yes,8.22,177806.09,Some,Both,1,67.76
19,Female,Tertiary,Married,South West,Osun,1.85,Cassava,Goats,17,Yes,3,No,No,0,Late,No,Yes,318062.3,Yes,11.47,114282.43,All,Family,0,37.44
33,Female,Primary,Single,North Central,Benue,0.67,Cassava,Pigs,3,No,3,No,Yes,342890,Paid on Time,Yes,Yes,297471.24,Yes,11.58,152964.06,Some,Both,1,79.74
32,Male,Primary,Married,North Central,Plateau,0.93,Rice,Cattle,1,No,1,Yes,No,0,Late,No,Yes,348247.24,No,11.68,152531.49,All,Family,0,19.55
20,Male,Secondary,Divorced,South East,Abia,2.63,Yam,Poultry,1,Yes,3,No,Yes,285362,Paid on Time,No,No,476293.75,No,5.2,219100.23,All,Both,1,52.81
24,Male,Secondary,Married,North West,Sokoto,2.95,Groundnut,Cattle,13,No,3,Yes,No,0,Paid on Time,No,Yes,365139.13,Yes,7.94,179782.18,All,Family,1,66.85
18,Female,Primary,Divorced,South West,Ogun,3.21,Oil Palm,Poultry,5,Yes,2,No,No,0,Late,No,Yes,284876.4,Yes,6.69,192621.67,Some,Family,0,11.27
29,Male,Primary,Single,South South,Edo,2.32,Rubber,Pigs,9,No,1,Yes,No,0,Late,Yes,Yes,138777.27,Yes,6.35,86004.01,None,Family,0,15.8
32,Male,Tertiary,Married,South South,Rivers,1.07,Cassava,Goats,5,No,3,Yes,No,0,Paid on Time,Yes,No,294047.46,No,10.01,187796.76,Some,Hired,1,70.79
19,Male,Secondary,Divorced,North West,Katsina,0.1,Cotton,Cattle,16,No,1,No,No,0,Paid on Time,No,Yes,428054.08,Yes,5.58,115031.1,All,Family,1,70.91
25,Male,Secondary,Single,South South,Akwa Ibom,1.97,Vegetables,Pigs,17,No,2,No,No,0,Late,No,Yes,128357.56,Yes,13.74,180518.51,None,Family,0,28.6
24,Male,Tertiary,Married,South South,Edo,2.76,Rice,None,0,No,3,Yes,No,0,Paid on Time,No,Yes,188883.62,No,11.62,143492.85,None,Hired,1,71.59
22,Male,Secondary,Married,South West,Ogun,2.77,Plantain,None,0,No,1,No,No,0,Defaulted,Yes,No,366705.61,No,14.44,174803.21,None,Both,0,31.3
27,Male,Tertiary,Single,North West,Zamfara,0.42,Beans,Poultry,8,No,1,Yes,No,0,Defaulted,No,No,307900.9,Yes,0.19,228501.61,None,Family,0,34.63
35,Male,Primary,Single,South East,Ebonyi,2.32,Cassava,Goats,13,No,1,Yes,No,0,Paid on Time,Yes,Yes,217276.91,Yes,0.52,179954.67,All,Both,1,85.96
20,Female,Primary,Single,South South,Edo,1.3,Cocoa,Pigs,4,No,2,No,No,0,Paid on Time,Yes,No,203288.89,No,20.95,109585.09,All,Family,1,63.18
35,Male,Secondary,Single,South South,Akwa Ibom,1.51,Rice,None,0,Yes,1,No,No,0,Paid on Time,No,No,295052.04,No,13.71,223832.93,Some,Both,1,83.3
22,Male,Secondary,Married,North Central,Niger,0.29,Rice,Cattle,13,No,3,No,Yes,335718,Paid on Time,Yes,Yes,435387.24,Yes,11.71,245576.48,None,Both,1,78.45
27,Female,Primary,Single,South South,Delta,0.63,Plantain,Poultry,5,No,2,Yes,Yes,223880,Paid on Time,Yes,No,353549.18,No,10.85,207662.26,Some,Both,1,69.5
32,Female,Secondary,Married,South South,Delta,2.23,Rice,Poultry,15,No,2,No,Yes,297940,Paid on Time,No,Yes,380265.23,No,7.57,216722.28,Some,Both,1,79.82
34,Male,Primary,Single,South East,Abia,1.99,Cassava,Poultry,10,No,3,No,Yes,264879,Paid on Time,Yes,Yes,340311.93,Yes,5.46,178051.65,Some,Family,1,63.7
22,Male,Secondary,Single,North East,Borno,3.68,Maize,Cattle,18,No,2,Yes,No,0,Paid on Time,Yes,No,538163.68,No,14.26,118981.81,None,Family,1,50.47
31,Male,Secondary,Single,South West,Ogun,2.85,Oil Palm,Goats,14,No,2,No,Yes,449445,Late,Yes,Yes,201206.42,Yes,6.14,178808.73,Some,Both,0,26.37
34,Male,Secondary,Single,North East,Adamawa,1.7,Maize,Cattle,12,No,2,No,No,0,Paid on Time,Yes,Yes,517284.23,Yes,14.63,245470.83,All,Both,1,70.29
23,Male,Secondary,Married,North East,Borno,2.17,Cowpea,Sheep,1,No,3,No,Yes,354245,Paid on Time,No,No,390787.19,No,1.65,177168.01,None,Family,1,75.55
18,Female,Secondary,Married,North Central,Plateau,1.79,Soybeans,Pigs,20,No,3,Yes,No,0,Paid on Time,Yes,Yes,313850.8,Yes,6.99,188012.55,Some,Hired,1,69.78
20,Male,Tertiary,Married,North West,Jigawa,2.17,Sorghum,Poultry,6,Yes,3,No,No,0,Paid on Time,No,No,308939.39,No,12.58,173774.68,All,Family,1,71.69
30,Male,Secondary,Single,North East,Yobe,2.55,Groundnut,Cattle,4,No,1,No,No,0,Paid on Time,No,Yes,329555.05,No,11.18,188543.26,All,Both,1,71.39
27,Male,Secondary,Married,South East,Imo,2.97,Yam,Poultry,8,No,2,No,No,0,Late,Yes,Yes,308205.49,No,18.21,148059.39,All,Hired,0,28.94
32,Female,Primary,Single,South East,Imo,2.96,Oil Palm,Pigs,13,No,3,No,No,0,Paid on Time,No,No,397355.74,Yes,7.97,77389.8,All,Hired,1,85.59
25,Male,Secondary,Single,North Central,Niger,3.78,Cassava,None,0,No,3,Yes,No,0,Paid on Time,Yes,No,359027.46,No,9.55,189053.66,All,Both,1,81.94
18,Female,Secondary,Married,North East,Taraba,1.41,Groundnut,None,0,No,1,Yes,Yes,251579,Paid on Time,Yes,No,286659.91,Yes,16.35,109076.29,Some,Family,1,85.64
24,Male,Primary,Single,South West,Osun,1.28,Vegetables,None,0,Yes,2,No,Yes,404518,Defaulted,Yes,Yes,390588.76,Yes,10.0,157912.8,Some,Family,0,31.34
34,Male,Secondary,Married,North East,Borno,3.39,Sesame,None,0,No,2,Yes,No,0,Paid on Time,Yes,Yes,34064.86,No,12.57,135281.67,Some,Both,1,88.95
35,Female,Secondary,Married,North West,Sokoto,1.23,Cotton,None,0,No,2,Yes,No,0,Late,Yes,No,237597.07,No,10.07,153078.43,None,Both,0,57.22
33,Male,Secondary,Married,South East,Abia,2.33,Vegetables,Goats,14,No,1,No,Yes,188155,Paid on Time,Yes,Yes,387000.99,Yes,3.6,237739.71,Some,Family,1,50.98
34,Female,Secondary,Married,South South,Delta,1.66,Vegetables,Goats,12,Yes,2,No,No,0,Paid on Time,Yes,Yes,434604.42,Yes,15.52,207571.27,None,Hired,1,80.75
23,Male,Secondary,Single,North West,Zamfara,1.44,Rice,Poultry,9,Yes,3,No,No,0,Paid on Time,No,Yes,331420.37,Yes,9.21,190329.66,All,Hired,1,42.35
18,Male,Secondary,Single,South West,Oyo,0.48,Plantain,Poultry,11,No,1,No,No,0,Defaulted,Yes,No,220156.1,Yes,1.23,143805.3,Some,Family,0,52.08
34,Male,Secondary,Single,South South,Akwa Ibom,1.65,Cocoa,None,0,Yes,1,Yes,No,0,Paid on Time,Yes,Yes,324252.04,Yes,14.93,120276.77,None,Hired,1,74.53
32,Male,Tertiary,Married,South East,Abia,3.28,Vegetables,Pigs,17,No,2,No,No,0,Paid on Time,No,Yes,368903.62,No,10.52,123279.67,None,Hired,1,63.66
31,Male,Secondary,Single,North West,Zamfara,1.8,Groundnut,Poultry,7,No,3,No,No,0,Paid on Time,No,Yes,203619.25,No,7.83,134541.39,All,Hired,1,56.99
